"Player","Team","Positions","PTS","REB","AST","BLK","STL","FG%","FT%","3PM","GP","MIN","TO"
"Marquese Chriss","HOU","PF,C","8.7","6.1","0.8","1.0","0.6",".463",".688","0.4","45","19.6","1.0"
"Terance Mann","LAC","SF,SG","8.7","3.8","2.0","0.2","0.6",".480",".779","0.9","77","23.2","0.8"
"Patty Mills","BKN","PG","8.6","2.3","1.8","0.1","0.5",".417",".824","2.1","69","23.0","0.9"
"Rudy Gay","UTH","SF,PF","8.6","4.6","1.0","0.4","0.5",".418",".805","1.0","66","19.7","0.9"
"Jaylen Nowell","MIN","SG DTD","8.5","1.6","1.8","0.2","0.5",".432",".792","1.3","71","17.6","0.6"
"Tyus Jones","MEM","PG","8.5","2.4","4.3","0.1","0.8",".455",".857","1.1","74","20.5","0.7"
"Willy Hernangomez","NOR","C","8.4","6.7","1.2","0.4","0.4",".535",".736","0.1","70","16.9","0.9"
"Jalen McDaniels","CHA","PF,C","8.4","3.8","1.3","0.5","0.6",".478",".733","1.0","66","21.7","0.9"
"Cody Martin","CHA","SG,SF DTD","8.4","4.4","2.6","0.5","1.2",".460",".724","1.0","73","26.4","1.0"
"Isaac Okoro","CLE","SG,SF","8.3","3.1","1.6","0.3","0.8",".462",".750","0.9","73","27.3","0.8"
"Moses Moody","GSW","SF,SG","8.3","1.9","0.7","0.2","0.4",".449",".806","1.4","73","20.6","0.4"
"Oshae Brissett","IND","SF,PF DTD","8.3","5.6","1.1","0.5","0.6",".446",".705","1.1","67","19.9","0.8"
"Joe Ingles","MIL","SG,SF,PF IR","8.3","3.1","3.5","0.1","0.5",".438",".806","1.9","42","24.1","1.1"
"Isaiah Roby","SAS","C,PF","8.3","4.0","1.3","0.6","0.7",".500",".687","0.7","62","19.3","1.0"
"KJ Martin Jr.","HOU","SF,PF","8.3","4.9","1.2","0.6","0.5",".509",".675","0.9","67","18.8","0.9"
"Jose Alvarado","NOR","PG","8.3","2.2","3.8","0.2","1.7",".434",".692","1.0","75","20.9","1.2"
"Dario Saric","PHO","PF,C OUT","8.2","2.8","1.2","0.2","0.5",".458",".808","0.9","64","19.0","1.0"
"Bryn Forbes","MIN","PG,SG","8.2","1.5","0.9","0.0","0.4",".431",".884","1.8","63","16.3","0.7"
"Andre Drummond","CHI","C","8.2","8.8","1.7","0.9","1.0",".552",".540","0.0","76","19.1","1.8"
"Mo Bamba","ORL","C","8.2","8.0","1.0","1.3","0.4",".485",".800","1.0","67","20.2","1.0"
"Tari Eason","HOU","SF","8.2","3.0","0.8","0.8","1.2",".462",".778","0.8","74","22.5","1.2"
"Kyle Anderson","MIN","SF,PF","8.2","5.2","2.8","0.7","1.1",".447",".662","0.7","72","22.6","1.1"
"Gabe Vincent","MIA","PG,SG DTD","8.2","1.9","2.6","0.1","0.8",".409",".821","1.5","72","21.2","1.0"
"Grant Williams","BOS","SF,PF","8.1","3.9","1.0","0.7","0.5",".464",".889","1.4","77","25.5","0.9"
"Killian Hayes","DET","PG,SG DTD","8.1","3.3","4.6","0.5","1.2",".401",".784","0.8","71","26.1","1.5"
"Jaxson Hayes","NOR","C","8.1","4.8","0.7","0.8","0.5",".606",".780","0.2","71","18.5","0.8"
"Otto Porter Jr.","TOR","SF,PF","8.1","5.7","1.4","0.5","1.0",".469",".796","1.2","65","22.1","0.7"
"Landry Shamet","PHO","PG,SG DTD","8.1","1.9","1.5","0.1","0.4",".401",".821","1.8","72","20.3","0.7"
"Taurean Prince","MIN","SF,PF","8.1","3.0","1.2","0.4","0.7",".430",".771","1.4","73","19.1","0.9"
"Garrison Mathews","HOU","SG,SF DTD","8.1","2.0","0.8","0.3","0.7",".417",".811","1.7","69","20.4","0.6"
"Moritz Wagner","ORL","PF,C","8.1","3.6","1.2","0.3","0.4",".496",".810","0.9","69","15.1","0.9"
"Shake Milton","PHI","PG,SG DTD","8.1","2.6","2.2","0.2","0.5",".425",".822","1.0","52","18.6","1.0"
"Corey Kispert","WAS","SG,SF OUT","8.0","2.8","1.1","0.3","0.5",".441",".878","1.5","77","20.9","0.7"
"Walker Kessler","UTH","C","8.0","7.3","0.6","1.8","0.7",".567",".620","0.3","69","24.0","0.9"
"Damian Jones","LAL","C","8.0","4.4","1.1","0.8","0.5",".655",".728","0.2","64","18.5","1.1"
"Ayo Dosunmu","CHI","PG,SG","8.0","2.7","3.0","0.3","0.8",".465",".681","0.9","77","24.1","0.8"
"Trey Burke","HOU","PG,SG","7.9","1.6","2.0","0.1","0.6",".373",".747","1.7","38","16.1","1.3"
"Trendon Watford","POR","SF,PF OUT","7.8","4.0","1.6","0.6","0.5",".516",".783","0.2","68","18.4","0.9"
"Donte DiVincenzo","GSW","PG,SG","7.8","3.6","2.6","0.2","1.0",".381",".810","1.4","68","22.4","1.6"
"Jarred Vanderbilt","UTH","PF,C","7.8","9.3","1.3","0.8","1.3",".584",".652","0.0","71","27.0","1.1"
"Isaiah Hartenstein","NYK","PF,C","7.7","4.5","2.2","1.1","0.7",".606",".680","0.1","72","18.5","1.2"
"Draymond Green","GSW","PF,C","7.7","7.3","6.8","1.0","1.4",".510",".710","0.6","64","28.9","2.9"
"T.J. McConnell","IND","PG,SG DTD","7.6","2.9","5.1","0.3","1.3",".503",".750","0.3","70","21.5","1.6"
"Nicolas Batum","LAC","SF,PF,SG","7.6","4.8","1.7","0.6","1.0",".485",".727","1.5","68","24.3","0.8"
"Georges Niang","PHI","SF,PF DTD","7.6","2.7","1.1","0.1","0.4",".438",".902","1.7","75","18.2","0.8"
"Devin Cannady","ORL","PG","7.6","2.3","1.2","0.2","0.7",".399",".727","1.5","27","20.1","0.9"
"Josh Jackson","TOR","SG,SF","7.5","3.0","1.3","0.5","0.6",".404",".716","0.7","69","17.7","1.1"
"Jalen Duren","DET","C","7.5","5.3","0.8","1.0","0.5",".565",".646","0.0","69","16.8","0.8"
"Mason Plumlee","CHA","PF,C","7.5","8.2","3.1","0.7","0.8",".641",".489","0.0","74","24.9","1.5"
"Omer Yurtseven","MIA","C","7.5","7.4","1.2","0.5","0.4",".527",".624","0.0","68","17.7","1.0"
"Chuma Okeke","ORL","PF DTD","7.5","3.8","1.4","0.5","1.2",".388",".833","1.4","69","21.4","0.7"
"Alex Caruso","CHI","PG,SG","7.4","3.4","3.8","0.4","1.5",".394",".769","1.1","67","26.4","1.4"
"Steven Adams","MEM","C DTD","7.4","9.3","3.1","0.9","0.9",".567",".531","0.1","76","26.4","1.5"
"Larry Nance Jr.","NOR","PF,C","7.4","6.0","2.0","0.4","1.1",".513",".647","0.7","67","24.1","1.0"
"Santi Aldama","MEM","PF,C","7.4","2.9","0.5","0.5","0.3",".477",".641","0.6","56","16.8","0.6"
"Cedi Osman","CLE","SF,PF","7.4","2.0","1.6","0.1","0.6",".423",".667","1.4","58","17.0","0.8"
"Robert Covington","LAC","PF,C,SF DTD","7.3","5.0","1.2","1.1","1.3",".411",".784","1.6","72","24.2","1.0"
"Gary Payton II","POR","PG,SG","7.3","4.5","1.1","0.4","1.4",".561",".588","0.5","70","20.8","0.7"
"Malaki Branham","SAS","SG","7.3","1.3","1.2","0.2","0.5",".449",".825","0.5","63","18.2","0.7"
"Serge Ibaka","MIL","PF,C","7.3","5.1","0.9","0.7","0.3",".496",".750","0.6","53","17.2","0.9"
"Dwight Powell","DAL","PF,C","7.3","6.9","1.0","0.5","0.4",".673",".780","0.1","63","18.1","0.8"
"Robin Lopez","CLE","C","7.2","3.5","1.3","0.5","0.1",".562",".607","0.1","51","17.0","1.2"
"Drew Eubanks","POR","PF,C","7.2","7.1","1.2","0.5","0.5",".574",".734","0.1","60","18.5","0.7"
"Kenrich Williams","OKC","SF,PF","7.2","4.0","2.2","0.3","0.9",".473",".545","0.8","69","21.4","1.0"
"Justise Winslow","POR","PF,PG,SF DTD","7.1","5.2","2.0","0.6","0.8",".405",".582","0.4","63","21.0","1.4"
"Royce O'Neale","BKN","SF,PF","7.1","4.8","2.3","0.4","1.0",".432",".769","1.5","75","28.8","1.0"
"Davis Bertans","DAL","PF,C DTD","7.1","2.2","0.7","0.3","0.4",".393",".881","1.8","61","16.8","0.4"
"Furkan Korkmaz","PHI","SG,SF DTD","7.1","2.4","1.5","0.2","0.5",".395",".783","1.3","58","18.1","0.7"
"Maxi Kleber","DAL","PF,C","7.0","5.6","1.1","0.9","0.5",".420",".750","1.3","72","24.3","0.8"
"Damion Lee","PHO","SG,SF","6.9","3.6","1.1","0.1","0.6",".433",".907","1.1","51","18.9","0.6"
"Payton Pritchard","BOS","PG","6.8","1.1","1.8","0.1","0.4",".388",".969","1.6","72","14.9","0.6"
"Terry Taylor","IND","SG","6.7","4.2","0.8","0.3","0.4",".532",".714","0.7","33","14.1","0.6"
"Dewayne Dedmon","MIA","C","6.6","6.0","0.7","0.7","0.4",".555",".756","0.3","67","16.7","1.1"
"Mike Muscala","OKC","PF,C","6.6","3.2","0.6","0.5","0.4",".449",".833","1.3","56","12.7","0.4"
"Daniel Theis","IND","PF,C","6.6","4.8","0.9","0.6","0.4",".529",".688","0.4","51","15.3","0.8"
"Thaddeus Young","TOR","PF,C,SF","6.6","3.4","2.1","0.3","1.0",".505",".500","0.4","70","17.0","1.1"
"James Bouknight","CHA","SG","6.6","1.1","1.1","0.1","0.4",".388",".800","0.7","73","14.7","0.8"
"Frank Kaminsky III","ATL","C,PF","6.5","4.0","1.2","0.3","0.4",".474",".723","0.5","49","14.5","0.5"
"Danuel House Jr.","PHI","SF,PF,SG","6.5","3.1","1.2","0.4","0.6",".415",".746","1.3","68","18.9","0.7"
"Naji Marshall","NOR","SF","6.5","2.4","1.4","0.2","0.7",".426",".811","0.8","41","13.4","0.5"
"Shaedon Sharpe","POR","SG","6.5","2.4","1.2","0.3","0.6",".438",".733","0.6","62","17.0","0.8"
"Aaron Wiggins","OKC","SG,SF","6.5","2.5","1.1","0.2","0.4",".433",".783","1.1","41","21.9","0.8"
"Cam Reddish","NYK","SG,SF","6.4","2.2","0.8","0.3","0.6",".382",".885","0.9","54","15.0","0.8"
"P.J. Tucker","PHI","PF,C,SF","6.4","5.0","1.9","0.3","0.8",".453",".742","1.1","73","28.5","0.9"
"Mark Williams","CHA","C","6.4","5.2","1.1","1.3","0.7",".562",".736","0.0","73","19.6","0.9"
"Delon Wright","WAS","PG,SG","6.4","3.3","2.7","0.2","1.3",".452",".852","0.7","74","20.7","0.8"
"Johnny Davis","WAS","SG","6.4","2.2","0.9","0.2","0.6",".433",".787","0.4","49","15.5","1.0"
"Jake LaRavia","MEM","PF","6.4","0.1","1.3","0.5","0.7",".475",".804","0.7","70","4.3","0.9"
"Xavier Tillman","MEM","PF,C","6.3","4.1","1.4","0.4","1.0",".490",".638","0.3","73","17.5","0.8"
"Jeremy Sochan","SAS","PF","6.3","2.9","1.5","0.4","0.8",".443",".629","0.6","71","19.2","0.8"
"Aaron Holiday","ATL","PG,SG","6.3","1.9","2.2","0.2","0.7",".426",".857","0.8","70","15.4","1.0"
"Raul Neto","CLE","PG,SG","6.3","4.1","2.4","0.1","0.8",".475",".790","0.6","51","15.8","0.9"
"Zeke Nnaji","DEN","PF,C DTD","6.2","2.3","0.5","0.3","0.4",".533",".630","0.6","68","18.2","0.7"
"George Hill","MIL","PG,SG DTD","6.2","3.2","2.2","0.1","0.8",".445",".912","0.9","59","20.8","0.8"
"Wesley Matthews","MIL","SG,SF","6.2","2.2","1.1","0.2","0.5",".408",".775","1.2","68","22.0","0.6"
"Danny Green","MEM","SG,SF OUT","6.1","2.6","1.0","0.4","0.9",".406",".690","1.5","7","20.3","0.8"
"DeAndre Jordan","DEN","C","6.0","6.9","1.1","0.9","0.3",".694",".573","0.0","62","17.4","1.1"
"Trey Lyles","SAC","PF,C","6.0","7.4","1.0","0.3","0.4",".439",".817","0.6","58","14.4","0.7"
"Theo Maledon","OKC","PG","5.9","1.8","2.3","0.2","0.6",".372",".701","0.8","39","16.0","1.3"
"Torrey Craig","PHO","SG,SF DTD","5.9","4.7","1.1","0.5","0.6",".450",".750","1.0","65","18.2","0.8"
"Romeo Langford","SAS","SG DTD","5.9","7.4","0.9","0.3","0.3",".395",".582","0.9","23","15.1","0.6"
"Zavier Simpson","ORL","G","5.9","2.1","2.7","0.2","0.8",".378","1.000","0.6","29","17.5","1.2"
"Trevelin Queen","PHI","G","5.8","1.9","1.2","0.1","0.6",".440","1.000","0.6","36","13.4","0.9"
"R.J. Hampton Jr.","ORL","PG,SG","5.8","3.3","1.8","0.2","0.5",".389",".639","0.8","52","16.5","1.0"
"Aaron Nesmith","IND","SG,SF","5.8","2.6","0.7","0.2","0.5",".418",".804","1.1","62","16.0","0.8"
"David Nwaba","HOU","SG,SF","5.8","3.3","0.8","0.5","0.7",".464",".702","0.5","51","15.5","0.6"
"Bismack Biyombo","PHO","C","5.8","5.1","0.9","0.9","0.3",".578",".522","0.0","69","17.7","0.9"
"Derrick Favors","OKC","C,PF","5.8","4.7","0.7","0.6","0.5",".525",".708","0.1","54","16.4","0.5"
"Cory Joseph","DET","PG DTD","5.8","1.9","2.2","0.2","0.5",".436",".873","0.6","59","15.8","1.0"
"JaMychal Green","GSW","PF,C","5.8","4.9","1.0","0.4","0.6",".458",".839","0.6","69","17.1","1.0"
"Eric Paschall","MIN","PF,C","5.7","4.2","0.9","0.1","0.2",".501",".754","0.6","40","11.5","0.6"
"Markieff Morris","BKN","PF,C","5.7","2.1","1.1","0.1","0.3",".451",".826","0.6","40","14.7","0.6"
"Wenyen Gabriel","LAL","PF,SF","5.6","2.7","0.6","0.6","0.2",".502",".597","0.1","55","13.9","0.7"
"Paul Reed","PHI","SF,PF","5.6","4.0","0.6","0.6","1.1",".550",".565","0.1","56","13.2","0.5"
"Ish Smith","DEN","PG","5.6","1.9","3.1","0.3","0.6",".418",".645","0.4","61","16.0","1.0"
"Chimezie Metu","SAC","PF,C","5.5","4.0","0.7","0.3","0.5",".497",".776","0.5","47","12.7","0.4"
"John Konchar","MEM","SG,PG","5.5","4.8","1.5","0.4","0.8",".488",".583","0.9","73","19.5","0.9"
"Malachi Flynn","TOR","PG","5.5","2.5","2.0","0.1","0.7",".390",".725","0.9","53","15.6","0.6"
"Josh Green","DAL","SG,SF","5.5","2.5","1.2","0.2","0.8",".454",".682","0.7","68","18.3","0.8"
"Keon Johnson","POR","SF,SG","5.5","2.0","1.5","0.2","0.6",".360",".732","0.8","37","14.0","1.0"
"Kira Lewis Jr.","NOR","PG,SG OUT","5.4","1.8","1.9","0.1","0.5",".412",".836","0.6","43","13.2","0.9"
"Edmond Sumner","BKN","PG,SG,SF","5.4","1.5","0.8","0.1","0.4",".515",".807","0.5","38","12.8","0.7"
"D.J. Wilson","TOR","PF,C","5.4","3.2","0.9","0.3","0.6",".506",".762","0.5","60","11.9","0.5"
"Dyson Daniels","NOR","G","5.3","2.4","1.8","0.4","0.7",".441",".767","0.6","63","15.7","0.9"
"Kevon Looney","GSW","PF,C","5.2","7.5","1.8","0.6","0.6",".565",".600","0.0","78","20.5","0.9"
"Austin Rivers","MIN","PG,SG","5.2","2.1","1.5","0.1","0.6",".407",".667","1.1","71","18.2","0.7"
"Amir Coffey","LAC","SF,SG","5.2","2.6","1.1","0.1","0.4",".465",".871","0.8","40","13.6","0.4"
"Matisse Thybulle","PHI","SG,SF DTD","5.2","2.5","1.2","1.0","1.5",".476",".769","0.7","71","22.7","0.7"
"Gorgui Dieng","SAS","PF,C","5.1","5.7","0.9","0.5","0.4",".469",".779","0.7","43","12.0","0.7"
"Brandon Boston Jr.","LAC","SG","5.0","2.4","0.9","0.1","0.5",".406",".833","0.6","35","11.5","0.6"
"Jalen Johnson","ATL","SF","5.0","1.0","0.7","0.3","0.4",".494",".676","0.4","70","12.7","0.7"
"Danilo Gallinari","BOS","SF,PF OUT","5.0","3.3","0.6","0.1","0.2",".428",".917","0.7","55","23.4","0.4"
"Juan Toscano-Anderson","LAL","SF,PF","5.0","2.7","2.1","0.3","0.8",".493",".586","0.7","71","16.7","1.1"
"David Duke Jr.","BKN","G","4.9","2.0","0.7","0.2","0.5",".399",".816","0.7","36","14.7","0.5"
"Yuta Watanabe","BKN","SF,PF","4.8","6.6","0.5","0.4","0.4",".416",".637","0.6","20","12.2","0.6"
"TyTy Washington Jr.","HOU","PG","4.8","1.8","2.0","0.2","0.5",".437",".738","0.6","58","13.8","0.8"
"Garrett Temple","NOR","PG,SG,SF DTD","4.8","3.1","1.2","0.3","0.6",".369",".690","0.9","48","15.4","0.6"
"Malcolm Hill","CHI","F","4.8","2.0","0.6","0.2","0.4",".433",".787","1.0","34","14.4","0.4"
"Jaylin Williams","OKC","C","4.7","0.1","1.2","0.5","0.7",".429",".762","0.3","62","16.8","1.2"
"Sterling Brown","HOU","SG,SF","4.7","3.0","0.8","0.2","0.4",".387",".750","0.6","37","17.2","0.8"
"Bruno Fernando","HOU","C","4.6","3.1","0.5","0.4","0.1",".586",".623","0.1","33","10.6","0.7"
"Kessler Edwards","BKN","SF","4.6","2.2","0.5","0.3","0.5",".430",".813","0.7","57","15.3","0.7"
"Jordan McLaughlin","MIN","PG","4.6","2.0","3.2","0.1","1.0",".426",".745","0.6","63","16.3","0.9"
"Saben Lee","DET","PG","4.6","1.7","2.6","0.2","0.7",".402",".750","0.4","59","13.6","0.9"
"Isaiah Joe","PHI","SG","4.6","1.5","0.7","0.1","0.3",".380",".920","1.0","40","12.5","0.4"
"Javonte Green","CHI","PG,SG DTD","4.5","6.3","0.6","0.4","0.6",".517",".826","0.6","54","14.0","1.0"
"Chris Silva","ATL","PF,C","4.5","3.9","0.6","0.4","0.2",".548",".840","0.0","38","12.6","0.7"
"Jevon Carter","MIL","PG,SG","4.5","1.1","1.5","0.1","0.3",".408",".833","0.9","71","15.2","0.5"
"Keita Bates-Diop","SAS","SF,PF DTD","4.5","3.0","0.6","0.2","0.4",".519",".750","0.2","50","13.4","0.7"
"Vit Krejci","OKC","PG","4.5","1.8","1.2","0.1","0.4",".413",".778","0.9","26","14.4","0.7"
"Stanley Johnson","UTH","PF,SF","4.5","3.4","1.0","0.2","0.6",".460",".750","0.7","32","14.0","0.6"
"Jared Butler","UTH","SG","4.5","1.5","1.7","0.1","0.5",".401",".750","0.7","42","11.2","0.9"
"Lamar Stevens","CLE","SF,PF","4.5","4.5","0.6","0.3","0.4",".461",".710","0.3","24","12.8","0.7"
"Nerlens Noel","DET","PF,C","4.5","8.1","1.0","1.4","1.0",".576",".742","0.0","52","18.0","1.1"
"Derrick Jones Jr.","CHI","SG,SF","4.4","3.9","0.5","0.6","0.4",".558",".803","0.3","39","14.4","0.8"
"David Roddy","MEM","PF","4.4","0.2","0.2","0.2","0.3",".464",".804","0.6","40","10.8","0.6"
"Khem Birch","TOR","PF,C","4.4","4.1","0.9","0.5","0.5",".488",".731","0.0","61","16.2","0.5"
"Dean Wade","CLE","PF,C DTD","4.4","4.3","0.8","0.2","0.5",".451",".667","1.1","47","15.0","0.5"
"Lindy Waters III","OKC","G","4.3","4.9","0.8","0.1","0.5",".367",".787","1.1","15","11.1","0.5"
"MarJon Beauchamp","MIL","F","4.3","0.1","0.2","0.2","0.5",".443",".519","0.4","50","12.5","0.6"
"Davon Reed","DEN","SG","4.3","1.6","1.1","0.2","0.5",".431",".649","0.8","59","14.7","0.6"
"Ochai Agbaji","UTH","G","4.3","2.4","0.7","0.2","0.3",".409",".657","0.7","38","12.6","0.7"
"CJ Elleby","MIN","SF,SG","4.2","2.4","1.0","0.2","0.5",".398",".723","0.5","52","14.7","0.7"
"Blake Wesley","SAS","SG","4.2","0.1","0.7","0.1","0.3",".400",".613","0.4","59","10.8","0.9"
"Anthony Gill","WAS","SF,PF","4.2","4.7","0.5","0.4","0.2",".486",".814","0.3","25","12.5","0.5"
"Greg Brown III","POR","PF","4.2","10.5","0.6","0.5","0.5",".435",".686","0.3","13","11.8","0.7"
"Rodney McGruder","DET","SG,SF","4.2","4.7","0.9","0.1","0.4",".433",".781","0.9","18","9.9","0.6"
"Quinndary Weatherspoon","GSW","SG G-League","4.2","3.2","0.6","0.2","0.3",".437",".899","0.5","19","7.6","0.5"
"Maurice Harkless","ATL","SF,PF","4.1","2.2","0.7","0.4","0.6",".431",".696","0.6","56","16.1","0.6"
"Haywood Highsmith","MIA","SG,SF","4.1","2.1","0.4","0.2","0.2",".381",".604","0.8","46","12.6","0.4"
"Usman Garuba","HOU","PF","4.1","4.6","1.0","0.7","0.6",".488",".709","0.3","69","16.0","0.5"
"Alex Len","SAC","PF,C DTD","4.0","7.9","0.9","0.5","0.3",".516",".650","0.1","22","11.0","0.8"
"Killian Tillie","MEM","C DTD","4.0","4.6","0.7","0.3","0.7",".389",".822","0.6","20","13.4","0.5"
"KZ Okpala","SAC","SF","4.0","6.0","0.6","0.3","0.3",".401",".716","0.6","17","11.1","0.5"
"Troy Brown Jr.","LAL","SG,SF","4.0","2.3","0.8","0.1","0.4",".388",".762","0.6","60","16.7","0.4"
"Frank Ntilikina","DAL","PG,SG DTD","4.0","1.3","1.2","0.1","0.5",".392",".946","0.6","52","12.0","0.6"
"Joe Wieskamp","SAS","SG,SF","3.9","2.5","0.5","0.1","0.3",".384",".673","0.8","20","9.1","0.3"
"Daishen Nix","HOU","SG,PG","3.9","3.1","1.7","0.1","0.4",".409",".517","0.3","20","10.6","1.1"
"Kevin Knox II","DET","SF,PF","3.9","2.4","0.6","0.2","0.3",".340",".720","0.6","35","11.1","0.5"
"Miles McBride","NYK","PG","3.8","1.4","0.9","0.1","0.4",".361",".652","0.6","45","12.5","1.2"
"Jordan Schakel","WAS","F","3.8","3.3","0.6","0.2","0.4",".388",".866","0.6","22","8.3","0.6"
"Thanasis Antetokounmpo","MIL","SF,PF","3.7","5.0","0.5","0.3","0.4",".495",".624","0.1","25","11.3","0.7"
"Braxton Key","DET","F","3.7","5.3","0.6","0.2","0.3",".438",".544","0.6","18","8.9","0.6"
"Vlatko Cancar","DEN","SF,PF","3.5","5.2","0.6","0.1","0.2",".457",".635","0.7","18","9.7","0.5"
"Justin Champagnie","TOR","SF G-League","3.5","2.6","0.4","0.2","0.3",".426",".780","0.3","43","11.4","0.4"
"Jabari Walker","POR","PF","3.5","0.1","0.5","0.0","0.2",".418",".676","0.2","49","10.2","0.5"
"Dalano Banton","TOR","SF,PG","3.4","4.0","1.8","0.1","0.5",".395",".583","0.3","22","9.1","0.9"
"Juancho Hernangomez","TOR","PF,C,SF","3.4","5.6","0.4","0.2","0.3",".412",".593","0.2","21","9.4","0.5"
"Sam Hauser","BOS","PF,SF","3.4","1.7","0.5","0.1","0.2",".424",".667","0.8","46","8.7","0.2"
"Isaiah Todd","WAS","PF","3.4","4.3","0.5","0.4","0.4",".418",".667","0.1","20","10.6","0.6"
"Taj Gibson","WAS","PF,C","3.4","4.1","0.4","0.5","0.3",".479",".767","0.1","44","12.1","0.7"
"Caleb Houstan","ORL","G","3.4","0.4","0.5","0.0","0.3",".378",".747","0.6","16","9.0","0.5"
"Nathan Knight","MIN","PF,C","3.4","6.8","0.7","0.3","0.3",".424",".724","0.1","21","6.3","0.7"
"Mac McClung","GSW","PG","3.3","4.9","0.7","0.1","0.5",".385",".754","0.6","14","8.8","0.7"
"Matthew Dellavedova","SAC","PG,SG","3.3","1.8","3.1","0.2","0.3",".362",".660","0.4","11","11.7","0.6"
"Andrew Nembhard","IND","PG","3.3","0.4","1.5","0.0","0.3",".440",".754","0.5","15","9.3","0.8"
"Ousmane Dieng","OKC","F","3.2","0.2","0.5","0.0","0.3",".385",".638","0.3","44","8.8","0.5"
"McKinley Wright IV","DAL","PG","3.2","1.2","1.2","0.1","0.5",".389",".766","0.7","25","11.0","0.6"
"Admiral Schofield","ORL","SF,PF DTD","3.2","5.3","0.8","0.2","0.2",".397",".700","0.6","17","8.4","0.6"
"Josh Okogie","PHO","SG,SF","3.2","3.2","0.7","0.2","0.6",".415",".677","0.4","26","11.9","0.5"
"Nikola Jovic","MIA","SF","3.2","0.1","0.3","0.2","0.2",".402",".684","0.4","39","9.9","0.2"
"AJ Griffin","ATL","SF","3.2","0.2","0.4","0.2","0.2",".403",".676","0.5","40","9.8","0.4"
"Jericho Sims","NYK","C,PF","3.1","5.2","0.4","0.5","0.3",".663",".432","0.0","32","12.4","0.6"
"Theo Pinson","DAL","SF,SG","3.1","3.6","0.8","0.1","0.3",".382","1.000","0.5","18","8.2","0.4"
"Jaden Springer","PHI","SG,PG","3.1","1.2","0.8","0.1","0.4",".399",".775","0.4","18","8.1","0.5"
"Bol Bol","ORL","PF,C","3.1","4.6","0.5","0.3","0.2",".500",".639","0.1","18","7.4","0.6"
"Kent Bazemore","SAC","SG,SF","3.0","9.0","0.9","0.3","0.5",".371",".789","0.7","8","7.0","0.6"
"Kennedy Chandler","MEM","PG","3.0","0.5","0.2","0.2","0.2",".416",".670","0.6","15","6.8","0.5"
"JT Thor","CHA","PF","3.0","1.7","0.6","0.3","0.4",".453",".671","0.3","43","10.5","0.6"
"Tyler Dorsey","DAL","PG,SG","2.9","0.4","0.5","0.1","0.2",".433",".507","0.6","16","7.4","0.3"
"Simone Fontecchio","UTH","F","2.8","0.2","0.3","0.2","0.2",".391",".778","0.7","33","11.8","0.6"
"Josh Minott","MIN","PF","2.8","0.4","0.2","0.2","0.2",".421",".600","0.4","16","7.0","0.4"
"Gabriele Procida","DET","SG","2.8","1.4","0.4","0.0","0.0",".385",".667","0.2","5","7.4","0.4"
"Xavier Sneed","UTH","SG","2.8","3.4","0.4","0.1","0.3",".349",".633","0.4","14","9.5","0.4"
"Bryce McGowens","CHA","SG","2.8","0.4","0.3","0.1","0.2",".421",".798","0.3","16","7.1","0.4"
"Kendall Brown","IND","SF","2.7","0.4","0.5","0.0","0.2",".530",".736","0.3","15","5.1","0.7"
"Mfiondu Kabengele","BOS","C,PF","2.7","0.2","0.2","0.2","0.2",".426",".753","0.3","28","7.5","0.5"
"Eugene Omoruyi","OKC","SG","2.7","3.6","0.7","0.2","0.3",".423",".664","0.4","12","6.2","0.6"
"Dylan Windler","CLE","SF,SG","2.6","5.0","0.6","0.1","0.3",".413",".878","0.4","21","8.9","0.4"
"Max Christie","LAL","SG","2.6","0.4","0.4","0.0","0.2",".374",".732","0.2","14","7.0","0.6"
"Trent Forrest","ATL","SG","2.5","4.9","1.3","0.1","0.4",".447",".784","0.1","15","8.1","0.6"
"Leandro Bolmaro","UTH","SF","2.5","2.0","0.7","0.1","0.3",".370",".800","0.3","35","9.9","0.5"
"Ryan Rollins","GSW","SG","2.5","0.2","0.2","0.2","0.2",".461",".682","0.3","33","8.1","0.3"
"RJ Nembhard Jr.","CLE","G","2.5","1.7","0.9","0.0","0.2",".373",".776","0.2","20","6.8","0.4"
"Gui Santos","GSW","SF","2.3","1.0","0.2","0.2","0.2",".461",".337","0.3","6","6.0","0.3"
"Christian Braun","DEN","SG","2.3","0.5","0.5","0.1","0.2",".436",".569","0.4","15","7.3","0.3"
"Luca Vildoza","MIL","PG","2.3","0.5","0.2","0.1","0.1",".401",".815","0.4","14","5.5","0.1"
"Deividas Sirvydis","IND","SF","2.3","6.1","0.5","0.1","0.3",".362",".611","0.3","15","6.1","0.6"
"Jason Preston","LAC","PG","2.2","0.4","0.2","0.0","0.4",".411",".767","0.3","16","5.8","0.4"
"Luke Kornet","BOS","C","2.2","3.0","0.5","0.4","0.2",".478",".674","0.2","42","8.3","0.3"
"Dalen Terry","CHI","PG","2.2","0.1","0.9","0.1","0.3",".386",".633","0.2","33","8.6","0.4"
"JD Davison","BOS","PG","2.2","0.3","0.7","0.1","0.2",".405",".692","0.3","24","6.5","0.3"
"Noah Vonleh","BOS","PF,C","2.1","0.2","0.5","0.1","0.1",".529",".759","0.1","14","7.2","0.4"
