"Player","Team","Positions","PTS","REB","AST","BLK","STL","FG%","FT%","3PM","GP","MIN","TO"
"Dillon Brooks","MEM","SG,SF","19.0","3.4","2.5","0.3","1.1",".426",".844","1.8","68","29.7","1.7"
"Dejounte Murray","ATL","PG,SG","18.9","6.4","6.2","0.3","1.9",".460",".818","1.3","73","34.5","2.5"
"Tyrese Maxey","PHI","PG,SG","18.8","3.1","3.9","0.3","0.8",".477",".861","2.1","76","34.9","1.3"
"Jalen Brunson","NYK","PG,SG","18.7","3.8","6.3","0.0","0.9",".493",".833","1.5","77","34.1","1.8"
"Jordan Poole","GSW","PG,SG","18.7","3.5","4.1","0.3","0.8",".447",".916","2.8","77","30.6","2.6"
"Tyrese Haliburton","IND","PG,SG DTD","18.6","4.0","9.2","0.6","1.7",".474",".854","2.3","77","35.4","2.7"
"Jrue Holiday","MIL","PG,SG","18.4","4.6","6.8","0.4","1.7",".487",".733","2.0","71","33.3","2.8"
"Paolo Banchero","ORL","PF","18.1","7.9","3.5","0.9","1.0",".464",".736","1.2","74","32.1","2.7"
"Nikola Vucevic","CHI","C","18.1","10.6","3.1","0.9","0.9",".470",".780","1.5","74","32.2","1.8"
"Saddiq Bey","DET","SF","18.0","5.4","2.7","0.2","0.9",".421",".830","3.0","79","33.6","1.2"
"Kevin Porter Jr.","HOU","SG,SF,PG DTD","17.9","4.6","6.6","0.4","1.2",".425",".685","2.8","69","32.6","3.3"
"Bojan Bogdanovic","UTH","SF,PF DTD","17.9","4.2","1.7","0.2","0.6",".451",".847","2.6","73","30.7","1.7"
"Gary Trent Jr.","TOR","SG,SF DTD","17.8","2.8","2.1","0.3","1.5",".416",".850","3.0","72","34.1","1.1"
"Deandre Ayton","PHO","C DTD","17.7","10.3","1.5","0.9","0.7",".633",".741","0.2","71","30.9","1.6"
"Scottie Barnes","TOR","SF,PF DTD","17.5","7.6","4.1","0.8","1.2",".492",".739","1.1","75","36.0","1.9"
"Andrew Wiggins","GSW","SG,SF","17.4","4.8","2.3","0.8","1.1",".457",".646","2.3","76","32.8","1.6"
"D'Angelo Russell","MIN","PG,SG","17.4","3.4","7.2","0.4","1.0",".420",".807","2.7","69","32.4","2.7"
